# x sin(x) cos(x)
0.000000 0.000000 1.000000
0.031416 0.031411 0.999507
0.062832 0.062791 0.998027
0.094248 0.094108 0.995562
0.125664 0.125333 0.992115
0.157080 0.156434 0.987688
0.188496 0.187381 0.982287
0.219911 0.218143 0.975917
0.251327 0.248690 0.968583
0.282743 0.278991 0.960294
0.314159 0.309017 0.951057
0.345575 0.338738 0.940881
0.376991 0.368125 0.929776
0.408407 0.397148 0.917755
0.439823 0.425779 0.904827
0.471239 0.453990 0.891007
0.502655 0.481754 0.876307
0.534071 0.509041 0.860742
0.565487 0.535827 0.844328
0.596903 0.562083 0.827081
0.628319 0.587785 0.809017
0.659734 0.612907 0.790155
0.691150 0.637424 0.770513
0.722566 0.661312 0.750111
0.753982 0.684547 0.728969
0.785398 0.707107 0.707107
0.816814 0.728969 0.684547
0.848230 0.750111 0.661312
0.879646 0.770513 0.637424
0.911062 0.790155 0.612907
0.942478 0.809017 0.587785
0.973894 0.827081 0.562083
1.005310 0.844328 0.535827
1.036726 0.860742 0.509041
1.068142 0.876307 0.481754
1.099557 0.891007 0.453990
1.130973 0.904827 0.425779
1.162389 0.917755 0.397148
1.193805 0.929776 0.368125
1.225221 0.940881 0.338738
1.256637 0.951057 0.309017
1.288053 0.960294 0.278991
1.319469 0.968583 0.248690
1.350885 0.975917 0.218143
1.382301 0.982287 0.187381
1.413717 0.987688 0.156434
1.445133 0.992115 0.125333
1.476549 0.995562 0.094108
1.507964 0.998027 0.062791
1.539380 0.999507 0.031411
1.570796 1.000000 -0.000000
1.602212 0.999507 -0.031411
1.633628 0.998027 -0.062791
1.665044 0.995562 -0.094108
1.696460 0.992115 -0.125333
1.727876 0.987688 -0.156434
1.759292 0.982287 -0.187381
1.790708 0.975917 -0.218143
1.822124 0.968583 -0.248690
1.853540 0.960294 -0.278991
1.884956 0.951057 -0.309017
1.916372 0.940881 -0.338738
1.947787 0.929776 -0.368125
1.979203 0.917755 -0.397148
2.010619 0.904827 -0.425779
2.042035 0.891007 -0.453990
2.073451 0.876307 -0.481754
2.104867 0.860742 -0.509041
2.136283 0.844328 -0.535827
2.167699 0.827081 -0.562083
2.199115 0.809017 -0.587785
2.230531 0.790155 -0.612907
2.261947 0.770513 -0.637424
2.293363 0.750111 -0.661312
2.324779 0.728969 -0.684547
2.356194 0.707107 -0.707107
2.387610 0.684547 -0.728969
2.419026 0.661312 -0.750111
2.450442 0.637424 -0.770513
2.481858 0.612907 -0.790155
2.513274 0.587785 -0.809017
2.544690 0.562083 -0.827081
2.576106 0.535827 -0.844328
2.607522 0.509041 -0.860742
2.638938 0.481754 -0.876307
2.670354 0.453990 -0.891007
2.701770 0.425779 -0.904827
2.733186 0.397148 -0.917755
2.764602 0.368125 -0.929776
2.796017 0.338738 -0.940881
2.827433 0.309017 -0.951057
2.858849 0.278991 -0.960294
2.890265 0.248690 -0.968583
2.921681 0.218143 -0.975917
2.953097 0.187381 -0.982287
2.984513 0.156434 -0.987688
3.015929 0.125333 -0.992115
3.047345 0.094108 -0.995562
3.078761 0.062791 -0.998027
3.110177 0.031411 -0.999507
